file,model_pair,strategy,dvfs_condition,dataset,rep,wall_time_s,total_tokens,alpha_mean,gpu_energy_Wh,total_energy_Wh,tokens_per_s,gpu_wh_per_1k,total_wh_per_1k,edp_gpu,edp_total,sm_clock_levels,clock_toggled,power_mw_mean,temp_c_max,f_high,f_low,batch_size,max_model_len,sm_count,sm_total
llama_8b_1b__spec_g5__adaptive_entropy__cnndm__rep0.json,llama_8b_1b,spec_g5,adaptive_entropy,cnndm,0,63.41004753112793,7882,0.8637131952017448,3.1671978115339616,6.310055947989543,124.3020673676476,0.401826669821614,0.800565332147874,200.83216376985285,400.12094758609345,18,True,178539.73253052917,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__adaptive_entropy__gsm8k__rep0.json,llama_8b_1b,spec_g5,adaptive_entropy,gsm8k,0,39.89037322998047,13132,0.9207796728158719,2.152061721648002,4.13497623410852,329.2022344411248,0.16387920512092613,0.3148778734471916,85.84654529049314,164.94574527568795,18,True,187652.09265350876,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__adaptive_entropy__humaneval__rep0.json,llama_8b_1b,spec_g5,adaptive_entropy,humaneval,0,31.954951286315918,8924,0.921209627648632,1.6659285549640024,3.2803915610309566,279.2681459608899,0.18667957809995545,0.3675920619711964,53.234665820357364,104.82475253278605,17,True,183905.4185662372,53,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__off__cnndm__rep0.json,llama_8b_1b,spec_g5,off,cnndm,0,32.514591455459595,7882,0.9019663305807747,3.3366001692780034,4.960529558568081,242.4142407201157,0.42331897605658503,0.629349093956874,108.4881913542916,161.28959199957248,11,True,341221.89359092305,75,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__off__gsm8k__rep0.json,llama_8b_1b,spec_g5,off,gsm8k,0,23.187558889389038,13132,0.9207796728158719,2.274887097686001,3.54379534691829,566.3381843100954,0.17323234067057577,0.2698595299206739,52.74907854430546,82.1719632986107,11,True,316756.6960985626,70,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__off__humaneval__rep0.json,llama_8b_1b,spec_g5,off,humaneval,0,18.366294622421265,8924,0.9209347181008902,1.798196438555999,2.7768842930475848,485.89006021419965,0.20150116971716708,0.3111703600456729,33.026205579508115,51.00107505848593,11,True,307485.12803970225,69,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__two_level__cnndm__rep0.json,llama_8b_1b,spec_g5,two_level,cnndm,0,63.287837982177734,7882,0.8866278593096664,3.1736675389319737,6.236113667809595,124.54209610098582,0.4026474928865737,0.7911841750583094,200.8545570132235,394.67015144677777,23,True,180954.42842587875,62,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__two_level__gsm8k__rep0.json,llama_8b_1b,spec_g5,two_level,gsm8k,0,39.899802446365356,13132,0.9207796728158719,2.124543644077992,4.104194072390564,329.12443658467913,0.16178370728586597,0.3125338160516726,84.76887168739303,163.75653268992724,19,True,190870.2658436214,60,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__two_level__humaneval__rep0.json,llama_8b_1b,spec_g5,two_level,humaneval,0,31.928380727767944,8924,0.9210499094905612,1.701264972122002,3.3127998306672866,279.5005508136792,0.19063928419117007,0.37122364754227777,54.31863574872679,105.7723342684303,18,True,186208.53841166937,59,1935,735,8,2048,82,82
llama_8b_1b__vanilla__off__cnndm__rep0.json,llama_8b_1b,vanilla,off,cnndm,0,34.96861219406128,7882,,3.7399391030600304,5.497929151113893,225.4021393888374,0.47449113208069404,0.6975297070684969,130.7804801243116,192.25495235572626,10,True,361404.8727639931,77,1935,735,8,2048,82,82
llama_8b_1b__vanilla__off__gsm8k__rep0.json,llama_8b_1b,vanilla,off,gsm8k,0,39.97384309768677,13112,,4.261159242257978,6.2501885456615875,328.01449607828107,0.32498163836622773,0.4766769787722382,170.33491096427827,249.84405625523536,12,True,364118.512295082,75,1935,735,8,2048,82,82
llama_8b_1b__vanilla__off__humaneval__rep0.json,llama_8b_1b,vanilla,off,humaneval,0,30.312795639038086,8982,,3.254105658838019,4.789035897042841,296.3105121334505,0.36229187918481615,0.53318146259662,98.64103982419425,145.1690664550771,13,True,358246.65519501804,75,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__adaptive_alpha__cnndm__rep0.json,llama_8b_1b_base,spec_g12,adaptive_alpha,cnndm,0,94.03296995162964,7898,0.7188382365001816,4.775037153359918,9.317497921654402,83.99181695593273,0.6045881429931524,1.1797287821795899,449.01092515980827,876.1520020913,24,True,182142.4593935169,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__adaptive_alpha__gsm8k__rep0.json,llama_8b_1b_base,spec_g12,adaptive_alpha,gsm8k,0,74.72332191467285,13104,0.7288261897420084,4.02491710881997,7.611468299897401,175.3669358405072,0.307151794018618,0.5808507554866759,300.75517680222896,568.7541960165612,19,True,192463.34192792265,55,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__adaptive_alpha__humaneval__rep0.json,llama_8b_1b_base,spec_g12,adaptive_alpha,humaneval,0,47.44054126739502,8965,0.7513907008770022,2.5059006158300035,4.910196209694394,188.97339196594442,0.27952042563636403,0.5477073295810814,118.88128157727387,232.94236591701352,19,True,187046.9263982103,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__adaptive_entropy__cnndm__rep0.json,llama_8b_1b_base,spec_g12,adaptive_entropy,cnndm,0,94.22322082519531,7898,0.7107692307692308,4.754531859178012,9.254725603386042,83.82222482770482,0.6019918788526225,1.1717809069873437,447.98730528775627,872.010054204432,21,True,180827.53671003718,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__adaptive_entropy__gsm8k__rep0.json,llama_8b_1b_base,spec_g12,adaptive_entropy,gsm8k,0,74.76310729980469,13104,0.7288261897420084,4.025429053673979,7.613678069746128,175.27361386214392,0.3071908618493574,0.5810193887168901,300.95358426757895,569.2222304745997,19,True,192283.74336412965,55,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__adaptive_entropy__humaneval__rep0.json,llama_8b_1b_base,spec_g12,adaptive_entropy,humaneval,0,47.24654507637024,8965,0.7562198904507358,2.501067278629976,4.8206450771809095,189.74932422061335,0.278981291537086,0.5377183577446636,118.1667879188258,227.75882493621012,18,True,187482.43968609866,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__off__cnndm__rep0.json,llama_8b_1b_base,spec_g12,off,cnndm,0,50.16200065612793,7898,0.740774626410491,5.024610964129983,7.541365686824773,157.44986038620368,0.6361877645137988,0.9548449844042508,252.0445384794758,378.28999053060494,10,True,342725.56530869385,76,1935,735,8,2048,82,82
