model_pair,strategy,dvfs_condition,dataset,gpu_energy_Wh_mean,gpu_energy_Wh_std,gpu_energy_Wh_count,total_energy_Wh_mean,total_energy_Wh_std,total_energy_Wh_count,wall_time_s_mean,wall_time_s_std,wall_time_s_count,tokens_per_s_mean,tokens_per_s_std,tokens_per_s_count,gpu_wh_per_1k_mean,gpu_wh_per_1k_std,gpu_wh_per_1k_count,total_wh_per_1k_mean,total_wh_per_1k_std,total_wh_per_1k_count,edp_gpu_mean,edp_gpu_std,edp_gpu_count,edp_total_mean,edp_total_std,edp_total_count,alpha_mean_mean,alpha_mean_std,alpha_mean_count
llama_8b_1b,spec_g18,adaptive_alpha,cnndm,5.03274180396801,,1,9.70387268926629,,1,97.96154141426086,,1,80.83784601256981,,1,0.63552744083445,,1,1.2253911717724828,,1,493.0151446566941,,1,950.6063263282748,,1,0.8453334784817476,,1
llama_8b_1b,spec_g18,adaptive_alpha,gsm8k,2.5754451159100133,,1,4.896195256787452,,1,47.56519174575806,,1,271.48003668358183,,1,0.1994459162015034,,1,0.3791679127071519,,1,122.50154076893588,,1,232.88846621376624,,1,0.9108779546550893,,1
llama_8b_1b,spec_g18,adaptive_alpha,humaneval,1.9365137714319889,,1,3.753260044828611,,1,36.32705950737,,1,247.171120419982,,1,0.2156714301628231,,1,0.4180042370897217,,1,70.34785101165134,,1,136.34490099512314,,1,0.9121662076398036,,1
llama_8b_1b,spec_g18,adaptive_entropy,cnndm,5.043447090310016,,1,9.721545580408012,,1,97.9843635559082,,1,80.81901757193691,,1,0.6368792890907963,,1,1.2276228792029311,,1,494.178953271924,,1,952.5594564760312,,1,0.8333333333333334,,1
llama_8b_1b,spec_g18,adaptive_entropy,gsm8k,2.584683734411994,,1,4.926577493405749,,1,47.75651288032532,,1,270.39243908698126,,1,0.2001613671812897,,1,0.3815207537679663,,1,123.43548205401372,,1,235.2761615197525,,1,0.9108779546550893,,1
llama_8b_1b,spec_g18,adaptive_entropy,humaneval,1.9302437664159844,,1,3.8064638962592,,1,36.26237440109253,,1,247.61202619234652,,1,0.2149731335801296,,1,0.4239296019889965,,1,69.99522214315142,,1,138.03141895039252,,1,0.9124216769503036,,1
llama_8b_1b,spec_g18,off,cnndm,5.346275110350004,,1,7.968629718073852,,1,53.79024052619934,,1,147.2200146817141,,1,0.675119978576841,,1,1.006267169854003,,1,287.5774241049596,,1,428.63450919941255,,1,0.8821177789579276,,1
llama_8b_1b,spec_g18,off,gsm8k,2.804435299102001,,1,4.292633990748962,,1,29.31835126876831,,1,440.4408652322722,,1,0.2171792224194223,,1,0.3324273205876994,,1,82.2214192096058,,1,125.8529512090328,,1,0.9108779546550893,,1
llama_8b_1b,spec_g18,off,humaneval,2.0702436006379834,,1,3.1885832068286684,,1,21.48347401618957,,1,417.9491637727483,,1,0.230565051858557,,1,0.3551156261085497,,1,44.47602460148887,,1,68.50184447236212,,1,0.911432301059755,,1
llama_8b_1b,spec_g18,two_level,cnndm,5.05334654267399,,1,9.79274581850968,,1,98.12975525856018,,1,80.69927392699982,,1,0.6381293777843149,,1,1.2366139434915624,,1,495.88365946928985,,1,960.9597504796436,,1,0.8609524286764214,,1
llama_8b_1b,spec_g18,two_level,gsm8k,2.568504277024,,1,4.889562231740906,,1,47.47707223892212,,1,271.9839154153615,,1,0.1989084083500348,,1,0.3786542423713239,,1,121.94506310624888,,1,232.14209929306827,,1,0.9108779546550893,,1
llama_8b_1b,spec_g18,two_level,humaneval,1.927687931037994,,1,3.794141784507661,,1,36.13596439361572,,1,248.47821694185512,,1,0.2146884876977385,,1,0.422557276367932,,1,69.65886243799171,,1,137.10497242929847,,1,0.9118458539511172,,1
llama_8b_1b,spec_g5,adaptive_alpha,cnndm,3.16805336777401,,1,6.296452945987414,,1,63.24918413162232,,1,124.6182082538403,,1,0.4019352153988848,,1,0.7988395008865027,,1,200.3767907971445,,1,398.2455117568537,,1,0.8741151512895903,,1
llama_8b_1b,spec_g5,adaptive_alpha,gsm8k,2.130547537769978,,1,4.112782051755,,1,39.93617653846741,,1,328.8246682140682,,1,0.1622409029675584,,1,0.3131877895031222,,1,85.08592259197889,,1,164.2487900831279,,1,0.920779672815872,,1
llama_8b_1b,spec_g5,adaptive_alpha,humaneval,1.653461044989979,,1,3.331551950135426,,1,32.12020707130432,,1,277.831334654519,,1,0.1852825016797376,,1,0.3733249607950948,,1,53.10951114941335,,1,107.0101385071576,,1,0.9211388634280476,,1
llama_8b_1b,spec_g5,adaptive_entropy,cnndm,3.1671978115339616,,1,6.310055947989543,,1,63.41004753112793,,1,124.3020673676476,,1,0.401826669821614,,1,0.800565332147874,,1,200.83216376985283,,1,400.1209475860935,,1,0.8637131952017448,,1
llama_8b_1b,spec_g5,adaptive_entropy,gsm8k,2.152061721648002,,1,4.13497623410852,,1,39.89037322998047,,1,329.2022344411248,,1,0.1638792051209261,,1,0.3148778734471916,,1,85.84654529049314,,1,164.94574527568795,,1,0.920779672815872,,1
